feedbacks,precriptions
well and good,thank you for your feedback!
university management is extordinary but some of the faculty is very bad,the advisor must look into this issue. all faculties must be warned to treat their students with great care and fairness
"some lectures are excellent,but not everyone",student seems satisfied. all teachers must be reminded regularly to make the class as interactive and student centered as possible
it is very good learning in this university,good job professors
its boring,student seems unsatisfied. a meeting can be arranged with the student for complete details
teaching is good but some lecturers are showing partiality between south people and north people,regular reminders must be given to teachers to refrain from biased behaviours and treat all students fairly
"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual.",regular inspection must be done to check if the lessons delivered are effective or not.
"everything is very good. interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",bravo! this is exactly what we wanted to hear from our students
"i am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc",bravo! this is exactly what we wanted to hear from our students
they are showing partiality between north indians and south indians,regular reminders must be given to teachers to refrain from biased behaviours and treat all students fairly
"interaction is satisfying, lecture delivery is good, punctuality is excellent",bravo! this is exactly what we wanted to hear from our students
staff is showing partiality between north indians and south indians,regular reminders must be given to teachers to refrain from biased behaviours and treat all students fairly
excellent university the mode of teaching is completely different than any other university in the country. lecturers are very friendly with every one they interact just like friends and they are very punctual,bravo! this is exactly what we wanted to hear from our students
lecture delivery and punctuality was good but the interaction with students was not good.,regular inspection must be done to check if the lessons delivered are effective or not. all teachers must be reminded regularly to make the class as interactive and student centered as possible
punctuality and lecture is good here but interaction isn't good.,regular inspection must be done to check if the lessons delivered are effective or not. all teachers must be reminded regularly to make the class as interactive and student centered as possible
good enough,thank you for your feedback!
"in this university there is good interaction with the students, teachers in this university can deliver the lectures effectively, there is good punctuality in this university",excellent comments by student. well done!
very good indeed.,thank you for your feedback!
"teaching is excellent,but lecture delivery is not up to the mark.punctuality is good",regular inspection must be done to check if the lessons delivered are effective or not. all teachers must be reminded regularly to make the class as interactive and student centered as possible
interaction of some faculty was good but not all faculty..,all faculties must be warned to treat their students with great care and fairness
"good, and also like the teaching style",good job teachers
"interaction between students and teachers is good ,the lectures delivery is fine, punctuality is good",great job done by professors
not bad,student seems unsatisfied. a meeting can be arranged with the student for complete details
its quite good,thank you for your feedback!
very good indeed,thank you for your feedback!
not bad..,student seems unsatisfied. a meeting can be arranged with the student for complete details
teaching is good some lecturers are showing partiality between south people and north people,strict warning must be given to teachers to refrain from biased behaviours and treat all students fairly
i was a student of a boarding school .....(jnv) i studied for 7 years there residing in hostel ..now living in lpu is same like that..and still more same and punctuality is shown here by both teachers and students...and also by the staff.. security is above 90%(in case of student is well manured) ....classes regular ....sports daily.....participation well/.......quality below average,thank you for your feedback!
all terms are good regarding the university activities,well done! such comments from students make our day
intraction is good and leacture delivery also good and then punctuality is also is good,thank you for your feedback!
all the given terms are good regarding the university,thank you for your feedback!
all the terms are good regarding the university activities.,thank you for your feedback!
some of the teacher are un experienced. also they are unfair and baised. infact many of the teachers are having few or no experience about the subject,strict warning must be given to teachers to refrain from biased behaviours and treat all students fairly. the department head must make sure that the professor is given a course of their expertise to teach to the students.
it is going good,thank you for your feedback!
"not satisfactory, lab work must include latest technologies",course plan must be updated in accordance with latest technologies
lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth.,student is satisfied and happy. well done!
lab and practical are not upto the mark. the topic which are practiced are almost already done in btech.,regular inspection must be done to check if the lessons delivered are effective or not. all teachers must be reminded regularly to make the class as interactive and student centered as possible
"the evaluation is again bad for our ca, as one of our faculty is really weird. he gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. as he expects us to deliver answer in the way he wants us to do. but how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",all faculties must be warned to treat their students with great care and fairness. teachers must plan their lessons effectively keeping in mind students of different competencies in the class
it is difficult to understand experiment in 1 hour,the professor must increase the number of practical classes and also start taking practical quizes. make the class as interacive as possible
lab activities are good but not satisfactory in explaining point of view.,the professor must increase the number of practical classes and also start taking practical quizes. make the class as interacive as possible
that's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,examination department must look closely to students problems. more details need to be gathered from the student
"paper checking is very hard, remaining is good",teachers must teach students how to attempt their exams in order to achieve good results.
excellent but checking procedure is not exceptable since we fail to know our faults in mid term..,examination department must look closely to students problems. more details need to be gathered from the student
the examination system of the university is very impressive.the sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same blocks.through this students also get to know and visit different blocks of the university.the checking is also fair .,bravo! this is exactly what we wanted to hear from our students
its very bad thing not showing answer of mcq in exam we dont know what is right and wrong and where we made mistake,examination department must look closely to students problems. all students must be given a chance to review their answer sheet once marks are assigned
marks distribution is good but paper checking is not that well,examination department must look closely to students problems. all students must be given a chance to review their answer sheet once marks are assigned
descent.,thank you for your feedback!
i am unable to pay my university fees because i have no money left,"please try consulting our finance department with an application mentioning your problem, university will find a way out to help you"
i am struggling to keep up with my coursework,you may want to speak with your academic advisor or a tutor for assistance
i need help finding a part-time job,our career center can help you with finding part-time job opportunities
i am having trouble adjusting to university life,you may find it helpful to speak with a counselor for support adjusting to university life
i am worried about my future after graduation,you may want to consider meeting with a career counselor to discuss your options after graduation
i am unable to attend classes regularly due to personal reasons,please discuss your situation with your professors and academic advisor for assistance
i need assistance with finding housing near the university,our housing office may be able to assist you with finding housing near the university
i am feeling overwhelmed and stressed,you may find it helpful to speak with a counselor for support managing stress
i am facing financial difficulties and need assistance,"please try consulting our finance department with an application mentioning your problem, university will find a way out to help you"
i am looking for resources to help me improve my study skills,you may find it helpful to attend a study skills workshop or meet with a tutor for assistance
